"","np_id","target_id","activity_type_grouped","activity_relation","activity_type","activity_value","activity_units","assay_organism","assay_tax_id","assay_strain","assay_tissue","assay_cell_type","ref_id","ref_id_type"
"90","NPC476990","NPT65","IC50","=","IC50",2.37,"ug/ml","Homo sapiens","9606","n.a.","n.a.","HepG2","15387653","PMID"
"91","NPC222153","NPT65","EC50","=","EC50",15700,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","520651","PMID"
"92","NPC117027","NPT2","IC50","=","IC50",800,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","489810","PMID"
"93","NPC482128","NPT65","IC50","=","IC50",3600,"nM","Homo sapiens","9606","n.a.","n.a.","HepG2","29280632","PMID"
"94","NPC148270","NPT191","Others","=","Inhibition",49,"%","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","544258","PMID"
"95","NPC4286","NPT27","Others","=","Ratio IC50/EC50",4.9,"n.a.","n.a.","n.a.","n.a.","n.a.","Huh-7","489554","PMID"
"96","NPC483510","NPT191","IC50","=","IC50",2310,"nM","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","19904996","PMID"
"97","NPC177013","NPT191","Others","=","Inhibition",-12.7,"%","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","473285","PMID"
"98","NPC308404","NPT27","Others",">","CC50",50000,"nM","Homo sapiens","9606","n.a.","n.a.","Huh-7","571028","PMID"
"99","NPC177013","NPT191","Others","=","Inhibition",-12.7,"%","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","473285","PMID"
"100","NPC35185","NPT191","Others","=","Inhibition",24.8,"%","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","486346","PMID"
"101","NPC308404","NPT27","Others",">","CC50",50000,"nM","Homo sapiens","9606","n.a.","n.a.","Huh-7","571028","PMID"
"102","NPC148270","NPT191","Others","=","Inhibition",49,"%","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","544258","PMID"
"103","NPC308404","NPT27","Others",">","CC50",50000,"nM","Homo sapiens","9606","n.a.","n.a.","Huh-7","571028","PMID"
"104","NPC473263","NPT191","Others","=","Inhibition",63,"%","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","499361","PMID"
"105","NPC308404","NPT27","Others",">","CC50",50000,"nM","Homo sapiens","9606","n.a.","n.a.","Huh-7","571028","PMID"
"106","NPC35185","NPT191","Others","=","Inhibition",24.8,"%","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","486346","PMID"
"107","NPC148270","NPT191","Others","=","Inhibition",49,"%","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","544258","PMID"
"108","NPC472282","NPT194","EC50","=","EC50",7200,"nM","Dengue virus 2","11060","n.a.","n.a.","Huh-7","569151","PMID"
"109","NPC308404","NPT27","Others",">","CC50",50000,"nM","Homo sapiens","9606","n.a.","n.a.","Huh-7","571028","PMID"
"110","NPC247735","NPT1229","Others","<","Activity",25,"%","Homo sapiens","9606","n.a.","n.a.","Huh-7","549591","PMID"
"111","NPC308404","NPT27","Others",">","CC50",50000,"nM","Homo sapiens","9606","n.a.","n.a.","Huh-7","571028","PMID"
"112","NPC81802","NPT1229","Others","<","Activity",25,"%","Homo sapiens","9606","n.a.","n.a.","Huh-7","561888","PMID"
"113","NPC148270","NPT191","Others","=","Inhibition",49,"%","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","544258","PMID"
"114","NPC308404","NPT27","Others",">","CC50",50000,"nM","Homo sapiens","9606","n.a.","n.a.","Huh-7","571028","PMID"
"115","NPC472282","NPT194","EC50","=","EC50",7200,"nM","Dengue virus 2","11060","n.a.","n.a.","Huh-7","569151","PMID"
"116","NPC35185","NPT191","Others","=","Inhibition",24.8,"%","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","486346","PMID"
"117","NPC177013","NPT191","Others","=","Inhibition",-12.7,"%","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","473285","PMID"
"118","NPC35185","NPT191","Others","=","Inhibition",24.8,"%","Hepatitis C virus","11103","n.a.","n.a.","Huh-7","486346","PMID"
"119","NPC49964","NPT1086","IC50",">","IC50",1e+05,"nM","Homo sapiens","9606","n.a.","n.a.","SK-HEP1","558746","PMID"
"120","NPC49964","NPT1086","IC50",">","IC50",1e+05,"nM","Homo sapiens","9606","n.a.","n.a.","SK-HEP1","558746","PMID"
"121","NPC17170","NPT20529","IC50","=","IC50",5000,"nM","Rattus norvegicus","10116","n.a.","n.a.","H4IIE","458455","PMID"
"122","NPC43300","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","466052","PMID"
"123","NPC39064","NPT440","Others","=","CD",13.7,"uM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","480966","PMID"
"124","NPC140840","NPT440","Others","=","CD",20.7,"uM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","460977","PMID"
"125","NPC53206","NPT2","Others","=","Activity",8.1,"uM","Mus musculus","10090","n.a.","n.a.","Hepa lclc7","499338","PMID"
"126","NPC120724","NPT2","Others","=","Ratio",28.9,"n.a.","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","549074","PMID"
"127","NPC120593","NPT440","Others",">","CD",23,"uM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","483522","PMID"
"128","NPC158088","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","458493","PMID"
"129","NPC166584","NPT440","Others","=","CD",14.7,"uM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","458611","PMID"
"130","NPC166584","NPT440","Others","=","CD",14.7,"uM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","458611","PMID"
"131","NPC35961","NPT440","Others",">","CD",5,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","552960","PMID"
"132","NPC232021","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","490217","PMID"
"133","NPC53206","NPT2","Others","=","Activity",8.1,"uM","Mus musculus","10090","n.a.","n.a.","Hepa lclc7","499338","PMID"
"134","NPC166584","NPT440","Others","=","CD",14.7,"uM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","458611","PMID"
"135","NPC39064","NPT440","Others","=","CD",13.7,"uM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","480966","PMID"
"136","NPC475673","NPT27","IC50","=","IC50",5100,"nM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","455752","PMID"
"137","NPC43300","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","466052","PMID"
"138","NPC43300","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","466052","PMID"
"139","NPC473861","NPT27","IC50",">","IC50",39800,"nM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","495110","PMID"
"140","NPC120724","NPT2","Others","=","Ratio",28.9,"n.a.","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","549074","PMID"
"141","NPC43300","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","466052","PMID"
"142","NPC158088","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","458493","PMID"
"143","NPC39064","NPT440","Others","=","CD",13.7,"uM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","480966","PMID"
"144","NPC43300","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","466052","PMID"
"145","NPC43300","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","466052","PMID"
"146","NPC166584","NPT440","Others","=","CD",14.7,"uM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","458611","PMID"
"147","NPC158088","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","458493","PMID"
"148","NPC273959","NPT440","Others",">","CD",23,"uM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","549149","PMID"
"149","NPC158088","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","458493","PMID"
"150","NPC158088","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","458493","PMID"
"151","NPC172154","NPT2","Others",">","Ratio",2.7,"n.a.","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","467931","PMID"
"152","NPC61520","NPT27","IC50","=","IC50",4800,"nM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","458189","PMID"
"153","NPC43300","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","466052","PMID"
"154","NPC43300","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","466052","PMID"
"155","NPC11895","NPT2","Others",">","Ratio",2.9,"n.a.","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","471442","PMID"
"156","NPC43300","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","466052","PMID"
"157","NPC166584","NPT440","Others","=","CD",14.7,"uM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","458611","PMID"
"158","NPC122056","NPT2","Others","=","Ratio",6.3,"n.a.","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","510435","PMID"
"159","NPC120724","NPT2","Others","=","Ratio",28.9,"n.a.","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","549074","PMID"
"160","NPC140840","NPT440","Others","=","CD",20.7,"uM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","460977","PMID"
"161","NPC1612","NPT440","Others",">","CD",10,"ug ml-1","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","488185","PMID"
"162","NPC53206","NPT2","Others","=","Activity",8.1,"uM","Mus musculus","10090","n.a.","n.a.","Hepa lclc7","499338","PMID"
"163","NPC61520","NPT27","IC50","=","IC50",4800,"nM","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","458189","PMID"
"164","NPC472407","NPT365","Others","=","Ratio",1.67,"n.a.","Mus musculus","10090","n.a.","n.a.","Hepa-1c1c7","539151","PMID"
"165","NPC296686","NPT20529","ED50","=","ED50",1.78,"ug ml-1","Homo sapiens","9606","n.a.","n.a.","PLC-PRF-5","521123","PMID"
"166","NPC25455","NPT20529","ED50","=","ED50",8.6,"ug ml-1","Homo sapiens","9606","n.a.","n.a.","PLC-PRF-5","512115","PMID"
"167","NPC212874","NPT20529","ED50","=","ED50",8.02,"ug ml-1","Homo sapiens","9606","n.a.","n.a.","PLC-PRF-5","543276","PMID"
"168","NPC85001","NPT20529","ED50","=","ED50",3.75,"ug ml-1","Homo sapiens","9606","n.a.","n.a.","PLC-PRF-5","495816","PMID"
"169","NPC485588","NPT20529","ED50","=","ED50",2.59,"ug ml-1","Homo sapiens","9606","n.a.","n.a.","PLC-PRF-5","2380724","PMID"
"170","NPC25455","NPT20529","ED50","=","ED50",8.6,"ug ml-1","Homo sapiens","9606","n.a.","n.a.","PLC-PRF-5","512115","PMID"
"171","NPC203486","NPT20529","ED50","=","ED50",8.47,"ug ml-1","Homo sapiens","9606","n.a.","n.a.","PLC-PRF-5","489927","PMID"
"172","NPC485588","NPT20529","ED50","=","ED50",2.59,"ug ml-1","Homo sapiens","9606","n.a.","n.a.","PLC-PRF-5","2380724","PMID"
"173","NPC40729","NPT659","IC50",">","IC50",10000,"nM","Homo sapiens","9606","n.a.","Liver","SMMC-7721","32842729","PMID"
"174","NPC62995","NPT659","IC50","=","IC50",54200,"nM","Homo sapiens","9606","n.a.","n.a.","SMMC-7721","524132","PMID"
"175","NPC470883","NPT27","IC50","=","IC50",29.7,"ug.mL-1","Homo sapiens","9606","n.a.","n.a.","SMMC-7721","496093","PMID"
"176","NPC40729","NPT659","IC50",">","IC50",10000,"nM","Homo sapiens","9606","n.a.","Liver","SMMC-7721","32842729","PMID"
"177","NPC292374","NPT659","IC50","=","IC50",4000,"nM","Homo sapiens","9606","n.a.","n.a.","SMMC-7721","529817","PMID"
